[2024-02-29 19:40:45] ERROR: (0) No database params in config.; GET /Notification/action/notReadCount; line: 48, file: C:\xampp\htdocs\espocrm\application\Espo\Core\ORM\DatabaseParamsFactory.php  
[2024-02-29 19:40:45] ERROR: (0) No database params in config.; GET /PopupNotification/action/grouped; line: 48, file: C:\xampp\htdocs\espocrm\application\Espo\Core\ORM\DatabaseParamsFactory.php  
[2024-02-29 19:41:45] ERROR: (0) No database params in config.; GET /PopupNotification/action/grouped; line: 48, file: C:\xampp\htdocs\espocrm\application\Espo\Core\ORM\DatabaseParamsFactory.php  
[2024-02-29 19:41:45] ERROR: (0) No database params in config.; GET /Notification/action/notReadCount; line: 48, file: C:\xampp\htdocs\espocrm\application\Espo\Core\ORM\DatabaseParamsFactory.php  
[2024-02-29 19:42:45] ERROR: (0) No database params in config.; GET /PopupNotification/action/grouped; line: 48, file: C:\xampp\htdocs\espocrm\application\Espo\Core\ORM\DatabaseParamsFactory.php  
[2024-02-29 19:42:45] ERROR: (0) No database params in config.; GET /Notification/action/notReadCount; line: 48, file: C:\xampp\htdocs\espocrm\application\Espo\Core\ORM\DatabaseParamsFactory.php  
[2024-02-29 19:43:45] ERROR: (0) No database params in config.; GET /PopupNotification/action/grouped; line: 48, file: C:\xampp\htdocs\espocrm\application\Espo\Core\ORM\DatabaseParamsFactory.php  
[2024-02-29 19:43:45] ERROR: (0) No database params in config.; GET /Notification/action/notReadCount; line: 48, file: C:\xampp\htdocs\espocrm\application\Espo\Core\ORM\DatabaseParamsFactory.php  
[2024-02-29 19:44:45] ERROR: (0) No database params in config.; GET /Notification/action/notReadCount; line: 48, file: C:\xampp\htdocs\espocrm\application\Espo\Core\ORM\DatabaseParamsFactory.php  
[2024-02-29 19:44:45] ERROR: (0) No database params in config.; GET /PopupNotification/action/grouped; line: 48, file: C:\xampp\htdocs\espocrm\application\Espo\Core\ORM\DatabaseParamsFactory.php  
[2024-02-29 19:45:45] ERROR: (0) No database params in config.; GET /PopupNotification/action/grouped; line: 48, file: C:\xampp\htdocs\espocrm\application\Espo\Core\ORM\DatabaseParamsFactory.php  
[2024-02-29 19:45:45] ERROR: (0) No database params in config.; GET /Notification/action/notReadCount; line: 48, file: C:\xampp\htdocs\espocrm\application\Espo\Core\ORM\DatabaseParamsFactory.php  
[2024-02-29 19:46:45] ERROR: (0) No database params in config.; GET /PopupNotification/action/grouped; line: 48, file: C:\xampp\htdocs\espocrm\application\Espo\Core\ORM\DatabaseParamsFactory.php  
[2024-02-29 19:46:45] ERROR: (0) No database params in config.; GET /Notification/action/notReadCount; line: 48, file: C:\xampp\htdocs\espocrm\application\Espo\Core\ORM\DatabaseParamsFactory.php  
[2024-02-29 19:47:45] ERROR: (0) No database params in config.; GET /PopupNotification/action/grouped; line: 48, file: C:\xampp\htdocs\espocrm\application\Espo\Core\ORM\DatabaseParamsFactory.php  
[2024-02-29 19:47:45] ERROR: (0) No database params in config.; GET /Notification/action/notReadCount; line: 48, file: C:\xampp\htdocs\espocrm\application\Espo\Core\ORM\DatabaseParamsFactory.php  
[2024-02-29 19:48:02] ERROR: (0) No database params in config.; GET /PopupNotification/action/grouped; line: 48, file: C:\xampp\htdocs\espocrm\application\Espo\Core\ORM\DatabaseParamsFactory.php  
[2024-02-29 19:48:02] ERROR: (0) No database params in config.; GET /Notification/action/notReadCount; line: 48, file: C:\xampp\htdocs\espocrm\application\Espo\Core\ORM\DatabaseParamsFactory.php  
[2024-02-29 19:48:05] ERROR: (0) No database params in config.; GET /Stream; line: 48, file: C:\xampp\htdocs\espocrm\application\Espo\Core\ORM\DatabaseParamsFactory.php  
[2024-02-29 19:48:05] ERROR: (0) No database params in config.; GET /Activities/upcoming; line: 48, file: C:\xampp\htdocs\espocrm\application\Espo\Core\ORM\DatabaseParamsFactory.php  
[2024-02-29 19:48:10] ERROR: (0) No database params in config.; GET /Admin/action/adminNotificationList; line: 48, file: C:\xampp\htdocs\espocrm\application\Espo\Core\ORM\DatabaseParamsFactory.php  
[2024-02-29 19:48:11] ERROR: (0) No database params in config.; POST /Admin/rebuild; line: 48, file: C:\xampp\htdocs\espocrm\application\Espo\Core\ORM\DatabaseParamsFactory.php  
[2024-02-29 19:48:12] ERROR: (0) No database params in config.; GET /Notification/action/notReadCount; line: 48, file: C:\xampp\htdocs\espocrm\application\Espo\Core\ORM\DatabaseParamsFactory.php  
[2024-02-29 19:48:13] ERROR: (0) No database params in config.; POST /Admin/rebuild; line: 48, file: C:\xampp\htdocs\espocrm\application\Espo\Core\ORM\DatabaseParamsFactory.php  
[2024-02-29 19:48:17] ERROR: (0) No database params in config.; GET /PopupNotification/action/grouped; line: 48, file: C:\xampp\htdocs\espocrm\application\Espo\Core\ORM\DatabaseParamsFactory.php  
[2024-02-29 19:48:22] ERROR: (0) No database params in config.; GET /Notification/action/notReadCount; line: 48, file: C:\xampp\htdocs\espocrm\application\Espo\Core\ORM\DatabaseParamsFactory.php  
[2024-02-29 19:48:34] ERROR: (0) No database params in config.; GET /PopupNotification/action/grouped; line: 48, file: C:\xampp\htdocs\espocrm\application\Espo\Core\ORM\DatabaseParamsFactory.php  
[2024-02-29 19:48:34] ERROR: (0) No database params in config.; GET /Notification/action/notReadCount; line: 48, file: C:\xampp\htdocs\espocrm\application\Espo\Core\ORM\DatabaseParamsFactory.php  
